T_K	rho_1e-6_ohms.m	sigma_1e3_S/m	S_1e-6_V/K	PF_1e-6_W/m/K^2	Nc_1e20_cm^-3	Ef_eV
458.9261744966443	7.524318871512802	132.90239516376914	-99.76350851117972	1.322745327572644	-3.559598377859426	0.13971185402150837
464.96644295302013	7.561961368059125	132.2408236868133	-101.02579469117515	1.349677774881708	-3.568649655447012	0.13954452774722845
471.00671140939596	7.599806625932656	131.5822953425843	-102.27127884608846	1.376273764798692	-3.5775658171826974	0.13937616094087862
477.0469798657718	7.6379146179551425	130.92578930500335	-103.49691497217222	1.4024261784199952	-3.586272093675081	0.13920178372135822
483.0872483221477	7.676317892062842	130.2707905093378	-104.69990768353719	1.428037611662197	-3.5946944379747556	0.13900052716667743
489.1275167785235	7.715021192096745	129.61727195570097	-105.87748366903597	1.4530150039730971	-3.602760965809732	0.13879839515091588
495.1677852348993	7.7540067756957844	128.96558243080307	-107.02673822949345	1.4772649840787193	-3.610403352741679	0.13858471312981185
501.20805369127515	7.793243664535373	128.31627535921774	-108.14457630912005	1.5006908404905308	-3.617558221238976	0.1383472352564762
507.248322147651	7.8326987324459925	127.6699173756834	-109.22775473390088	1.5231917901792567	-3.6241685392581666	0.13807897880473918
513.2885906040268	7.872347500102177	127.02691287281473	-110.27301950444068	1.5446648957593558	-3.630185036344714	0.13781126319553025
519.3288590604027	7.912182741025704	126.38737409525046	-111.27732028165255	1.5650096078873228	-3.635567624802316	0.13752658468303008
525.3691275167786	7.952219464233208	125.75105660724178	-112.23807484228762	1.5841345301097847	-3.6402867937467547	0.13717710369951425
531.4093959731543	7.99249545416534	125.11736862844802	-113.1534502142209	1.6019656650176053	-3.644324924534979	0.13684345210589452
537.4496644295302	8.03306723640872	124.48545126917949	-114.02262503645676	1.6184551476525104	-3.647677459058786	0.13649358801675848
543.489932885906	8.074002013002954	123.85431640833481	-114.84599962679513	1.6335893413249516	-3.65035383939475	0.13609519334043124
549.5302013422819	8.115366694882036	123.22302091791501	-115.62532604689258	1.6473951857137303	-3.6523781299053657	0.13566386745860207
555.5704697986578	8.15721558633833	122.590850936292	-116.36373947286525	1.6599438522608698	-3.6537892323185295	0.13525033128992203
561.6107382550335	8.199578502426238	121.95748838847047	-117.06568338954852	1.671351060716953	-3.65464061135651	0.13480771269822833
567.6510067114094	8.242451103684678	121.3231340314489	-117.73673324414469	1.6817738049796975	-3.6549994634905056	0.13431346394319238
573.6912751677852	8.285789016864738	120.68856664882716	-118.38333480833437	1.691403671010342	-3.6549452839917405	0.13381848749150352
579.7315436241611	8.32950690231433	120.05512591893678	-119.01248322409636	1.7004573415060618	-3.6545678168469613	0.13334436022472587
585.771812080537	8.373483074856665	119.42461590478796	-119.63137535374088	1.709165211308751	-3.653964406823867	0.13281456576326603
591.8120805369127	8.417569646631677	118.79913585272845	-120.24707076484242	1.7177592386551848	-3.653236811053788	0.132279054287548
597.8523489932886	8.461607506736279	118.18085383940355	-120.86619505446913	1.7264612067287515	-3.652487566624229	0.13175364866892328
603.8926174496644	8.505444854102848	117.57174576443477	-121.4947133740768	1.7354724686420953	-3.651816048201176	0.13122642752114355
609.9328859060403	8.548957521611198	116.97332656900754	-122.1377926029433	1.7449660200332948	-3.6513143828527945	0.13068573210781131
615.9731543624162	8.592069023630462	116.3864020702971	-122.7997587490059	1.755081425363398	-3.651063415435528	0.1301520415040454
622.0134228187919	8.634768161597465	115.81086848949008	-123.48414329420294	1.7659227624569187	-3.6511289346045706	0.1296282467665992
628.0536912751678	8.67712214787765	115.2455829199767	-124.19379998957848	1.777559390428084	-3.651558374818941	0.12911377316464673
634.0939597315436	8.71928354983384	114.68832207195013	-124.93106366370536	1.7900290292133272	-3.652378202199829	0.12861015202909834
640.1342281879195	8.7614898849392	114.1358391246878	-125.69791632921863	1.8033423968983888	-3.6535921710956933	0.12811632336224102
646.1744966442953	8.804055365915142	113.58401991331122	-126.4961242324284	1.8174885073729543	-3.655180603921572	0.12759331147295777
652.2147651006711	8.847355039462832	113.02813050223371	-127.3273129079241	1.832439699779104	-3.657100800282036	0.1271104140255537
658.255033557047	8.891802311439527	112.46313907738084	-128.1929555544865	1.8481555570182353	-3.6592886244677554	0.12663504052635982
664.2953020134228	8.937821531435599	111.88408679708547	-129.09426228413298	1.8645850665142696	-3.66166125588666	0.12612833352344943
670.3355704697987	8.98581785182566	111.28647569868431	-130.0319726017061	1.8816666637923845	-3.6641210182136965	0.12562230099937458
676.3758389261745	9.036146923654037	110.66663794302495	-131.00606903567234	1.8993261474370913	-3.6665601339816094	0.12514468293974243
682.4161073825503	9.089087105194068	110.0220504464676	-132.01544416305137	1.9174728216223442	-3.6688661861779894	0.12464296948580238
688.4563758389262	9.144816721843258	109.35156279418982	-133.0575644099122	1.935994562297734	-3.670928011475056	0.12410386788189266
694.496644295302	9.203398535648544	108.65551416974819	-134.12818032678885	1.9547527674794805	-3.6726417050616513	0.1235682364165852
700.5369127516778	9.26477299077722	107.93572610958385	-135.22113342046563	1.9735782994054196	-3.6739163882829184	0.12304333975280488
706.5771812080537	9.328761050629508	107.19537080784373	-136.3283036396689	1.9922695277971139	-3.6746793803076065	0.12245813991859301
712.6174496644295	9.39507660251223	106.4387276770688	-137.4397295985693	2.010593427953187	-3.674880425760754	0.12185661142759814
718.6577181208054	9.46334755608762	105.67085210314568	-138.54391667086554	2.0282903837930246	-3.674494662498768	0.12124747159065345
724.6979865771812	9.533143983303162	104.89718835165516	-139.6283279462169	2.0450829232415573	-3.6735240670264964	0.12061339835728715
730.738255033557	9.60401101504418	104.12316254464434	-140.68003192494902	2.060688117850272	-3.6719971877347786	0.11995270258157882
736.7785234899329	9.675503784235795	103.35379142006956	-141.68646117039714	2.0748328693435627	-3.6699670651757605	0.11928677843735574
742.8187919463087	9.747221527331753	102.5933387474517	-142.63622031360487	2.087270848241466	-3.6675073398525924	0.11858510482497217
748.8590604026846	9.818838042429727	101.84504476789846	-143.51987183542843	2.0977995077063847	-3.664706656329919	0.11788620490106215
754.8993288590603	9.890126043133545	101.11094597164146	-144.3306253647776	2.1062754233198504	-3.6616615820320098	0.1171800809382028
760.9395973154362	9.960973508257721	100.39179395176511	-145.06486146983002	2.1126262423863986	-3.6584683635632596	0.11646187781088939
766.9798657718121	10.031390853009231	99.68707377203017	-145.72243384068344	2.116857775318589	-3.655213936430986	0.11570050341184915
773.0201342281879	10.101508566510713	98.99511478070472	-146.30671324119226	2.1190552082889984	-3.6519666795467387	0.1149640215026418
779.0604026845638	10.171565794793985	98.31328039108989	-146.8243607399821	2.119378013337722	-3.648767458430485	0.11424274117365801
785.1006711409397	10.241891119294301	97.63821821110153	-147.28484402851888	2.1180488083532603	-3.6456215262105043	0.11348242630275951
791.1409395973154	10.312877418103366	96.96614819105542	-147.69973629371376	2.1153370894274244	-3.642491846169463	0.11271504979513039
797.1812080536913	10.384953145462784	96.29316434970174	-148.08185932762728	2.1115393353033767	-3.639294362199296	0.11195460138483136
803.2214765100671	10.458552588712964	95.61552533370784	-148.4443488312515	2.106957393293177	-3.6358956742357837	0.11119166400634246
809.261744966443	10.53408764832482	94.92991072264572	-148.79972830992975	2.101877246923224	-3.6321134765280605	0.11039472102712122
815.3020134228188	10.611923445697677	94.2336236326152	-149.1590774959992	2.0965502166789127	-3.627719991152045	0.10958366089202276
821.3422818791946	10.692359625765915	93.5247255984778	-149.5313717638295	2.091178366998755	-3.6224484829378816	0.10873962916595398
827.3825503355705	10.775618634332936	92.80209646746698	-149.9230514094926	2.085905422851371	-3.616002781665181	0.10784866593149163
833.4228187919463	10.861841571499157	92.06541942426614	-150.33785574446568	2.0808138952375006	-3.6080695709895094	0.10692094322917906
839.4630872483222	10.951091515430548	91.31509846219055	-150.77692921701924	2.0759284453135396	-3.5983330396222915	0.10593603789170157
845.503355704698	11.04336353625489	90.55212179849399	-151.23917819210575	2.0712248532914352	-3.5864913377905663	0.10484164296181793
851.5436241610738	11.138600032348492	89.77788924064251	-151.72183068219277	2.066643369786434	-3.572274149580344	0.10366674193336149
857.5838926174497	11.236709563883933	88.99402394577449	-152.22113009972938	2.0621047751660195	-3.5554605874928273	0.10242803303838836
863.6241610738255	11.337587060647323	88.20218928867081	-152.73308032592087	2.0575272058384804	-3.535896546247396	0.10107957894649923
869.6644295302013	11.441133157843586	87.40392985588493	-153.25415458286108	2.0528417572699813	-3.513510623926065	0.09962055417130455
875.7046979865772	11.54727046591119	86.60055230819351	-153.78188529604984	2.0480050514986625	-3.488327733326858	0.09807546241076359
881.744966442953	11.655954797635587	85.7930574853336	-154.31526583541688	2.043007345454522	-3.4604795861880744	0.09642361180405463
887.7852348993289	11.767179737903755	84.98213015127645	-154.85491622497875	2.0378753119408946	-3.430211336736783	0.09465175813415308
893.8255033557047	11.880973421953787	84.16818761265719	-155.402991292448	2.0326692809543605	-3.3978838153859843	0.09280201339532743
899.8657718120805	11.99738695660427	83.35148342027297	-155.96283840462118	2.0274754037033027	-3.3639709628818206	0.09090250569973511
905.9060402684564	12.11647454366528	82.53225774512262	-156.53843978498008	2.0223938111706867	-3.329052282124886	0.08892540777421225
911.9463087248322	12.238266012798745	81.71092203374258	-157.13369843459225	2.0175243092372397	-3.2938003500742568	0.08692953658596397
917.9865771812081	12.362733109672952	80.88826241970489	-157.75164432788281	2.012951429702843	-3.258963665098137	0.08493514674612454
924.0268456375838	12.489751481153636	80.06564434119815	-158.39364701706597	2.008730714396052	-3.22534533464011	0.08294169494817032
930.0671140939597	12.619060818768464	79.24520012715125	-159.05872116079792	2.00487794937005	-3.193778322795056	0.0809949739871941
936.1073825503356	12.750226030336965	78.42998215252597	-159.74300290774943	2.0013627144546278	-3.1650981663015987	0.07914693160669398
