T_K	rho_1e-6_ohms.m	sigma_1e3_S/m	S_1e-6_V/K	PF_1e-6_W/m/K^2	Nc_1e20_cm^-3	Ef_eV
320.	17.57305812555761	56.905291774209566	-120.80354956816133	0.8304472382665694	-1.7074475488863023	0.09548130455604775
326.0402684563758	17.649160952254668	56.65991730174859	-124.51236551270698	0.8784173484229799	-1.7162119096191857	0.09536953723839128
332.08053691275165	17.713926311248255	56.4527582665287	-127.83588381823657	0.9225517202932352	-1.7252021246906049	0.09529048903946909
338.12080536912754	17.77284727646613	56.265604742136475	-130.7908308515033	0.9624930191955081	-1.734228111112821	0.09524294077458066
344.16107382550337	17.83033496891791	56.08419593592684	-133.40370179409723	0.9981050655184893	-1.7430328251540146	0.09513531462684373
350.2013422818792	17.889635684730223	55.89828756845811	-135.70887379974215	1.0294730844471116	-1.751305520311101	0.0949849807717578
356.241610738255	17.9528359061854	55.70150617014574	-137.7463897222101	1.0568841591743028	-1.7586979899473507	0.09485579311670415
362.28187919463085	18.02094714732952	55.49097901594965	-139.55956024277884	1.0807906319199236	-1.764843100634563	0.09465016898040873
368.32214765100673	18.094056686876957	55.266766171085784	-141.1925426341724	1.101761447998616	-1.7693747881950288	0.09433693227231406
374.36241610738256	18.1715258765336	55.03115185782956	-142.68805245369276	1.1204276653134662	-1.7719485914691258	0.09397169263702343
380.4026845637584	18.252215220119105	54.787870290819114	-144.08535031927883	1.1374284121822793	-1.772261745450205	0.09354432618386649
386.4429530201342	18.33471493657784	54.541344300095744	-145.4186208549829	1.1533626437342506	-1.7700718500337818	0.09295205519992404
392.48322147651004	18.41756118069266	54.29600532823594	-146.71582715846677	1.1687505054338336	-1.7652131751159728	0.09225495986643217
398.5234899328859	18.4994212397399	54.05574515227699	-147.99808478099857	1.1840063975510406	-1.7576097564743078	0.09146414519215042
404.56375838926175	18.579235439123853	53.82352806048284	-149.27955773777597	1.1994242944712294	-1.7472845762161262	0.09053976640939407
410.6040268456376	18.656308657250527	53.60117150566992	-150.56783913015266	1.2151746948886843	-1.7343643006067873	0.08950640599607668
416.6442953020134	18.7303497106751	53.389286129028555	-151.86474398497143	1.231311791924341	-1.7190792582390189	0.08839279599386198
422.6845637583893	18.80146188459894	53.18735352271419	-153.16741476600635	1.2477889799260287	-1.701758572424079	0.08715836718787984
428.7248322147651	18.87009208809461	52.99391202393301	-154.46962273505343	1.2644805460681283	-1.682820601489121	0.08581318532570992
434.76510067114094	18.936949165274548	52.806816518985045	-155.76314198599715	1.281207241441003	-1.6627590767448663	0.08444723959266784
440.80536912751677	19.002903598791722	52.62353696640254	-157.03907753214304	1.297763352002401	-1.6421255475016459	0.08303680152407517
446.8456375838926	19.068881163522253	52.441461637138225	-158.28904326297126	1.3139429105592448	-1.6215089335925839	0.08155178418718477
452.8859060402685	19.135762136895146	52.25817465989123	-159.50610799739235	1.3295628523423886	-1.6015131376899348	0.08008260809772674
458.9261744966443	19.204295681133804	52.071683159012935	-160.68545569800565	1.344481260942102	-1.5827337735022708	0.07869242828784183
464.96644295302013	19.275036299822904	51.88057674418947	-161.82473626786611	1.3586093878539172	-1.5657351155914814	0.07730917077318328
471.00671140939596	19.34830619688829	51.684110734242246	-162.92411326585108	1.371916818627404	-1.551028368715821	0.0760437924589117
477.0469798657718	19.424184288341763	51.482213366364725	-163.9860416271403	1.3844299173313652	-1.5390522892944638	0.07490167991439489
483.0872483221477	19.502519852973908	51.27542530600279	-165.01482983074692	1.3962243991726084	-1.5301570719013702	0.07385796800535485
489.1275167785235	19.58296660332001	51.06478605904707	-166.01605536082164	1.4074134525100386	-1.5245922459181118	0.07292818389630194
495.1677852348993	19.66503146827815	50.851685725146666	-166.9959089880939	1.418133180399205	-1.5224991205946359	0.07215715710954217
501.20805369127515	19.7481316632827	50.63770168492849	-167.96054237445136	1.4285272285869726	-1.52390808207607	0.07158696979493241
507.248322147651	19.831653651785746	50.42443850414636	-168.915485533891	1.438732329342638	-1.5287407963562534	0.07112564471475341
513.2885906040268	19.91500826682978	50.213386135801365	-169.8651871250202	1.4488661722062823	-1.5368171214038597	0.07081515314748253
519.3288590604027	19.997677404196708	50.00580716389295	-170.81271318133935	1.4590185847406172	-1.5478662937516454	0.07064823062247395
525.3691275167786	20.079249131644985	49.802659125534504	-171.75962069642338	1.4692465394677008	-1.5615417427911313	0.07060179773599173
531.4093959731543	20.159439591608226	49.604553512304484	-172.70600346196164	1.479573055404742	-1.5774387115039155	0.07064543739085527
537.4496644295302	20.238101535506694	49.41174933061543	-173.6506905089787	1.4899896742459018	-1.5951137348294515	0.07076361642138558
543.489932885906	20.315220579454092	49.224176330694405	-174.59156387981068	1.5004618856477672	-1.6141049530056324	0.07095899759747079
549.5302013422819	20.39090122101713	49.04148125484953	-175.52595326165562	1.5109366640772777	-1.633952220549173	0.0711668182553435
555.5704697986578	20.465345259629245	48.86308964318525	-176.4510607343891	1.5213511640924609	-1.654216012268868	0.07138249580401665
561.6107382550335	20.5388255184854	48.68827572929999	-177.3643695125016	1.5316415996744412	-1.6744942226392976	0.0716279439608166
567.6510067114094	20.611657708962127	48.51623358586978	-178.26399562003144	1.5417514002573998	-1.6944360977158655	0.07181752765980758
573.6912751677852	20.6841729715901	48.34614375800807	-179.14895008275755	1.5516378808007567	-1.7137527204734533	0.07196826160048987
579.7315436241611	20.75669314617813	48.177230975933526	-180.0192903472322	1.5612768695329529	-1.732223679769663	0.07211814822496362
585.771812080537	20.829510246809477	48.00881000805927	-180.87615199913313	1.5706649832069266	-1.749699777348335	0.07217975778795162
