T_K	rho_1e-6_ohms.m	sigma_1e3_S/m	S_1e-6_V/K	PF_1e-6_W/m/K^2	Nc_1e20_cm^-3	Ef_eV
320.0000000000000	12.944430946595308	77.25329944017537	-105.17103300126962	0.8544945875325198	-2.845929908956875	0.13288843821305807
326.0402684563758	12.95737348802993	77.17613457108446	-106.69923540197767	0.8786292103012928	-2.844201009321807	0.1325062311874223
332.08053691275165	12.956553771878278	77.18101723704208	-108.09878560306153	0.9018870028710319	-2.8417988428700953	0.13210438041335604
338.12080536912754	12.947444148763472	77.23532061696545	-109.41883193348774	0.9246983917541943	-2.8392437998606	0.1317079164231516
344.16107382550337	12.934896165198037	77.31024565087336	-110.70585132662671	0.9474977890373764	-2.836973178908389	0.13130831504106955
350.2013422818792	12.922986532968388	77.3814936236958	-112.00118881540041	0.9706940624027391	-2.835330392974127	0.13091110909357814
356.241610738255	12.914922431758509	77.42981076997758	-113.33902745384276	0.9946428414153345	-2.8345582765101107	0.13053964260462134
362.28187919463085	12.913007663161473	77.44129222913908	-114.7449175586799	1.0196227284143604	-2.83479677873987	0.13019638388138796
368.32214765100673	12.918666685202105	77.40736907048358	-116.2349505714086	1.045817193334177	-2.8360851338720217	0.12987492594597183
374.36241610738256	12.932519531048513	77.32445310437697	-117.8156125049776	1.073303505677958	-2.8383683952636036	0.12958947327528292
380.4026845637584	12.954497377496963	77.19326893663069	-119.48429919687769	1.1020495306416478	-2.8415080170804488	0.12932484765104288
386.4429530201342	12.983986318183177	77.01794930263975	-121.23042502541495	1.1319186258892524	-2.845295974156626	0.1290609466030376
392.48322147651004	13.019985849180898	76.80499899029546	-123.03701274597645	1.1626822548663467	-2.849471738681445	0.1288156352345293
398.5234899328859	13.061268712876796	76.56224077329668	-124.88261843688312	1.1940393181159148	-2.853741290461402	0.12857287717645305
404.56375838926175	13.106529981099442	76.29784553517003	-126.74342499484086	1.2256406388714745	-2.8577972339507633	0.12828960234835263
410.6040268456376	13.154515404682435	76.01952403689789	-128.59533172720657	1.2571165742938684	-2.8613390363537503	0.12801148079416452
416.6442953020134	13.204121854698625	75.73392695131443	-130.41587651036374	1.2881054138344021	-2.864092391007954	0.12770998425104887
422.6845637583893	13.25446582721796	75.44626943369582	-132.18584950245977	1.3182801205617847	-2.8658267505607586	0.12735297709855029
428.7248322147651	13.304919164367508	75.16017103494654	-133.89049106344947	1.347371102052377	-2.866370164045396	0.12695014791013634
434.76510067114094	13.355114066105852	74.877683189387	        -135.5202079256906	1.3751830695952705	-2.8656206870323397	0.12652986842535774
440.80536912751677	13.404921884543729	74.59946492885047	-137.07078674018587	1.4016046299558893	-2.8635538081623264	0.12606248915735402
446.8456375838926	13.454411930345877	74.3250619333678	-138.54312865632704	1.4266099921165531	-2.860225539858571	0.12550771515242362
452.8859060402685	13.503797484698934	74.05324325495057	-139.9425685459758	1.4502529761302738	-2.855771045308524	0.12494150568898463
